molecular_type,mir_135b_tumor,mir_135b_plasma,mir_145_tumor,mir_145_plasma,miR_195b_tumor,miR_195b_plasma,mir_331_tumor,mir_331_plasma
triplo_negativo,1.9719,2.3254,0.9666,0.9794,1.4509,1.9021,1.2792,1.2138
triplo_negativo,1.9719,2.3514,0.9657,0.9779,1.5216,1.9948,1.2799,1.2141
triplo_negativo,1.9719,2.3607,0.966,0.9385,1.4071,1.8447,2.4799,2.3665
triplo_negativo,2.9449,2.3285,0.9931,0.9354,1.8131,2.3769,2.4799,2.3664
triplo_negativo,2.9449,2.3285,0.993,0.9737,1.4225,1.8648,1.2797,1.2143
triplo_negativo,2.9449,2.3193,0.9937,0.9136,1.7993,2.3588,2.4481,2.3477
triplo_negativo,2.9449,2.3514,0.9937,0.9101,1.6193,2.1229,2.4635,2.3654
triplo_negativo,2.9449,2.3514,1.0516,0.953,1.5793,2.0704,1.4028,1.3468
triplo_negativo,2.9449,2.3514,1.0535,0.9782,1.3994,1.8345,2.4606,2.3627
triplo_negativo,2.5852,2.3285,1.0508,0.9737,1.5424,2.022,1.2498,1.1951
